product_id,product_name,category,price,created_at,updated_at
1,Product_1,Appliances,94807,2023-07-18 01:30:58,2023-07-18 01:30:58
2,Product_2,Appliances,27258,2023-05-08 13:28:43,2023-05-08 13:28:43
3,Product_3,Appliances,82278,2023-09-12 04:17:46,2023-09-12 04:17:46
4,Product_4,Furniture,18986,2023-08-18 01:39:32,2023-08-18 01:39:32
5,Product_5,Appliances,52640,2023-10-12 23:27:19,2023-10-12 23:27:19
6,Product_6,Clothing,8578,2023-04-21 19:27:09,2023-04-21 19:27:09
7,Product_7,Appliances,26150,2023-12-28 09:59:37,2023-12-28 09:59:37
8,Product_8,Furniture,53958,2023-09-27 04:54:37,2023-09-27 04:54:37
9,Product_9,Appliances,8981,2023-01-30 07:09:54,2023-01-30 07:09:54
10,Product_10,Electronics,14319,2023-09-19 17:39:37,2023-09-19 17:39:37
11,Product_11,Furniture,78234,2023-02-16 04:43:19,2023-02-16 04:43:19
12,Product_12,Clothing,85159,2023-09-28 03:06:51,2023-09-28 03:06:51
13,Product_13,Furniture,31224,2023-05-06 12:43:51,2023-05-06 12:43:51
14,Product_14,Clothing,54310,2023-01-01 05:05:15,2023-01-01 05:05:15
15,Product_15,Clothing,47304,2023-03-11 15:45:37,2023-03-11 15:45:37
16,Product_16,Furniture,33644,2023-05-27 08:52:15,2023-05-27 08:52:15
17,Product_17,Furniture,36058,2023-05-13 02:40:34,2023-05-13 02:40:34
18,Product_18,Clothing,87580,2023-11-13 19:25:14,2023-11-13 19:25:14
19,Product_19,Appliances,15888,2023-02-02 11:55:30,2023-02-02 11:55:30
20,Product_20,Furniture,10966,2023-08-28 06:34:57,2023-08-28 06:34:57
21,Product_21,Electronics,47434,2023-06-25 22:55:46,2023-06-25 22:55:46
22,Product_22,Clothing,5382,2023-01-15 23:59:26,2023-01-15 23:59:26
23,Product_23,Furniture,66985,2023-09-02 16:42:38,2023-09-02 16:42:38
24,Product_24,Furniture,24000,2023-10-28 11:51:30,2023-10-28 11:51:30
25,Product_25,Appliances,36654,2023-06-13 15:23:27,2023-06-13 15:23:27
26,Product_26,Clothing,17867,2023-03-21 08:34:27,2023-03-21 08:34:27
27,Product_27,Clothing,17192,2023-12-01 07:20:11,2023-12-01 07:20:11
28,Product_28,Furniture,86920,2023-10-30 17:11:16,2023-10-30 17:11:16
29,Product_29,Furniture,36470,2023-06-03 08:53:49,2023-06-03 08:53:49
30,Product_30,Electronics,83705,2023-03-05 17:06:04,2023-03-05 17:06:04
31,Product_31,Furniture,93956,2023-06-09 06:34:06,2023-06-09 06:34:06
32,Product_32,Furniture,61121,2023-03-08 13:35:41,2023-03-08 13:35:41
33,Product_33,Electronics,1192,2023-06-18 21:05:11,2023-06-18 21:05:11
34,Product_34,Appliances,86588,2023-06-02 01:16:49,2023-06-02 01:16:49
35,Product_35,Appliances,83694,2023-10-03 11:25:13,2023-10-03 11:25:13
36,Product_36,Appliances,85014,2023-11-20 18:20:54,2023-11-20 18:20:54
37,Product_37,Clothing,16828,2023-03-09 00:53:41,2023-03-09 00:53:41
38,Product_38,Electronics,38689,2023-12-17 18:37:43,2023-12-17 18:37:43
39,Product_39,Clothing,20407,2023-09-15 02:38:23,2023-09-15 02:38:23
40,Product_40,Electronics,81596,2023-07-05 18:45:12,2023-07-05 18:45:12
41,Product_41,Furniture,57644,2023-09-24 13:33:25,2023-09-24 13:33:25
42,Product_42,Appliances,90252,2023-06-16 10:05:21,2023-06-16 10:05:21
43,Product_43,Electronics,17359,2023-10-23 06:26:09,2023-10-23 06:26:09
44,Product_44,Appliances,12852,2023-08-31 03:36:08,2023-08-31 03:36:08
45,Product_45,Appliances,25468,2023-12-07 02:15:13,2023-12-07 02:15:13
46,Product_46,Clothing,13593,2023-07-15 23:10:42,2023-07-15 23:10:42
